artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature,pc1,pc2,label
Joji,TEST DRIVE,0.6459999999999999,0.648,3,-8.602,1,0.0372,0.71,0.00316,0.10800000000000001,0.466,75.00399999999999,spotify:track:1DMEzmAoQIikcL52psptQL,4,0.3249044719253699,-0.23263194933535983,3
Joji,Run,0.447,0.72,7,-3.9539999999999997,1,0.0332,0.0416,0.000297,0.614,0.36200000000000004,157.892,spotify:track:6p8eEdiZLKJH8tcjGZuNTK,3,-0.4379903562952621,0.2888995968876335,6
Joji,Sanctuary,0.552,0.65,1,-7.199,1,0.128,0.42200000000000004,0.000275,0.37200000000000005,0.316,167.78799999999998,spotify:track:3xaugmCyXrVkrDTXbFkMW3,4,0.003170080606928095,0.27706471288734213,4
88rising,Head In The Clouds,0.516,0.456,9,-9.242,1,0.0397,0.281,1.27e-05,0.0847,0.23800000000000002,145.843,spotify:track:3kYARoLSAvt86VFZ55BQcq,4,0.08580185658385062,0.3476324099161335,4
Jeremy Zucker,talk is overrated,0.7759999999999999,0.353,4,-8.317,0,0.0687,0.435,0.0,0.302,0.6579999999999999,138.035,spotify:track:7cflqPPi3zWfLFRRBTWeh6,4,0.23334865971443192,-0.184281782856024,2
Jeremy Zucker,Flying Kites,0.726,0.46,5,-5.33,1,0.0758,0.932,1.73e-05,0.0731,0.665,143.737,spotify:track:0yjdEwkPYbhCXN6uCedpVu,4,0.4684873287970482,-0.18084687451253229,3
Jeremy Zucker,comethru,0.795,0.17800000000000002,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.98200000000001,spotify:track:18uwL0vNUanqZH0ro2QcOP,4,0.5904176172284991,-0.30959205228691955,3
HONNE,Warm on a Cold Night,0.342,0.609,8,-5.68,1,0.0943,0.185,0.0005200000000000001,0.0799,0.401,82.98899999999999,spotify:track:5pJPgy2jGvvNUNfHPvG3Zp,4,-0.13103569597124803,0.08210414959555111,0
benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,spotify:track:0d2iYfpKoM0QCKvcLCkBao,4,0.2302799806262212,-0.07053562228980215,2
gianni & kyle,wave,0.7440000000000001,0.43,7,-9.835,1,0.162,0.262,0.0,0.10400000000000001,0.28600000000000003,89.993,spotify:track:3YTqCVdqwsql9yQKshguT6,4,0.21458932101029052,-0.09547298010005839,2
gianni & kyle,jealous,0.8320000000000001,0.643,7,-6.035,0,0.127,0.27399999999999997,0.0,0.0983,0.39299999999999996,135.007,spotify:track:7lKNg20fAXWXgrr9ZmVdEE,4,-0.05013124284780454,-0.1073902393810532,0
gianni & kyle,how u get,0.867,0.6579999999999999,11,-5.242000000000001,1,0.21899999999999997,0.38,0.0,0.142,0.608,101.969,spotify:track:7kMFvJUNKfQaOFxN4kXa68,4,0.031186010821712542,-0.44018423312650573,2
gianni & kyle,do u even miss me at all?,0.8190000000000001,0.519,10,-7.16,0,0.0768,0.384,0.0,0.0898,0.452,100.039,spotify:track:1AHf5FSofKcUw8tyKkccKF,4,0.1493832947489448,-0.24482396896427872,2
gianni & kyle,5 shots,0.9179999999999999,0.449,1,-5.702000000000001,1,0.0605,0.124,0.0,0.0595,0.48100000000000004,91.978,spotify:track:0znCw9dSfsrBGUtxAzd9kD,4,-0.012200246466549637,-0.3553858454166753,2
EXES,Peckham,0.5920000000000001,0.495,9,-7.89,1,0.0446,0.581,0.00043,0.134,0.226,114.925,spotify:track:7AhqAjYc1F7x3yURlb0dkj,4,0.29978014693344157,0.14331591410781,4
COIN,"Don't Cry, 2020",0.527,0.867,9,-5.854,1,0.145,0.0132,0.00035800000000000003,0.612,0.184,128.04,spotify:track:69yWHw7ZdTfYnpk67pdj3a,4,-0.42005248514070564,0.2048629048076511,6
Hoodie Allen,Come Around,0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,spotify:track:2zkhW5YaOPPaPgNWXmjTjF,4,-0.09233418922249671,-0.5525059019056278,2
The Chainsmokers,Paris,0.6459999999999999,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,spotify:track:15vzANxN8G9wWfwAJLLMCg,4,-0.21619130712403167,0.035859117212738364,0
The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,0,-8.821,1,0.0307,0.09699999999999999,0.0027199999999999998,0.115,0.29600000000000004,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,4,-0.07668981611792725,-0.02926232286539976,0
BROCKHAMPTON,SUMMER,0.49700000000000005,0.55,8,-6.13,1,0.0257,0.847,0.049,0.11900000000000001,0.542,79.955,spotify:track:66dQdXAbtuPdSasezCQVZE,4,0.3975260630120559,-0.15900336311735835,3
BROCKHAMPTON,NO HALO,0.643,0.573,4,-7.034,1,0.0709,0.41,0.00016999999999999999,0.0695,0.47,165.192,spotify:track:694vvR5o19xHPhhJ5QdLN7,4,0.0341958076361405,0.12546658515630993,4
BROCKHAMPTON,SUGAR,0.45299999999999996,0.5379999999999999,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,4,0.11141782399800067,0.0861961191091708,4
BROCKHAMPTON,GINGER,0.748,0.715,2,-5.1370000000000005,1,0.0451,0.249,0.0369,0.16399999999999998,0.226,130.08700000000002,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,4,-0.14036501868365472,0.051368145233716224,0
Bren Joy,Twenties,0.6759999999999999,0.586,0,-6.412000000000001,1,0.0716,0.177,0.0,0.0461,0.602,88.01,spotify:track:5GI6QmVQewXzKDtIf4pPY8,4,-0.09414395336619995,-0.27967047266998774,2
Bren Joy,Sweet,0.638,0.732,0,-6.852,1,0.0914,0.17300000000000001,0.0,0.0681,0.5529999999999999,78.017,spotify:track:0dMahcyqbfmUiWUL9xiLmg,4,-0.16766001944220763,-0.27524771874937004,2
Bren Joy,Henny in the Hamptons,0.633,0.635,1,-6.7860000000000005,0,0.11800000000000001,0.623,0.0,0.207,0.46399999999999997,87.927,spotify:track:4kWfgyx4baqZctv8N3zxwt,4,0.2313992167926148,-0.19759728902103713,2
BØRNS,Electric Love,0.611,0.797,6,-7.627000000000001,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,4,-0.3779780049873431,-0.0617923346211739,5
blackbear,Idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,spotify:track:6y6jbcPG4Yn3Du4moXaenr,4,0.3038293880691982,0.17094942115994757,4
blackbear,hot girl bummer,0.778,0.5589999999999999,6,-7.109,0,0.0776,0.128,0.0,0.39899999999999997,0.6779999999999999,129.989,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,1,-0.15037744167152273,-0.252783088111183,2
ayokay,Stay With Me (feat. Jeremy Zucker),0.695,0.695,2,-6.612,1,0.0706,0.489,0.00018999999999999998,0.131,0.46799999999999997,100.021,spotify:track:65Bynqyt59f3fojjs1Uo41,4,0.07726296602170575,-0.19039579521658825,2
ayokay,Sleepless Nights (feat. Nightly),0.6629999999999999,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,spotify:track:4PUWpNtDejQwwa80LjvxXl,4,-0.3138376838510249,0.02449362319618624,0
Axwell /\ Ingrosso,More Than You Know,0.6459999999999999,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.5710000000000001,123.07700000000001,spotify:track:6h5PAsRni4IRlxWr6uDPTP,4,-0.3922908391555273,-0.12381748299725386,5
Anthony Russo,California,0.736,0.493,10,-7.224,1,0.0592,0.265,0.0,0.247,0.364,141.997,spotify:track:6ae29ZzSPYq61ARnOn3CGh,4,0.025256495897833114,0.04849323692199341,0
COIN,Atlas,0.38,0.769,6,-5.572,0,0.0748,0.007409999999999999,3.86e-06,0.163,0.562,174.22299999999998,spotify:track:7HbTWMc28PYvjltuhArnKG,4,-0.48866484378184716,0.2872034624859171,6
COIN,Crash My Car,0.244,0.645,5,-5.8629999999999995,1,0.0456,0.0017800000000000001,0.0057399999999999994,0.301,0.529,183.577,spotify:track:0X5mtNbqxbiTYkwj0CQc2f,5,-0.4444786311131799,0.4692570655473271,6
COIN,Talk Too Much,0.598,0.888,4,-5.119,1,0.0807,0.009470000000000001,0.0,0.34700000000000003,0.48200000000000004,103.96600000000001,spotify:track:4djIFfof5TpbSGRZUpsTXq,4,-0.46346691692341146,-0.12731822780854612,5
Death Cab for Cutie,Summer Years,0.556,0.902,11,-6.087000000000001,0,0.0333,0.215,0.35700000000000004,0.109,0.8490000000000001,152.25,spotify:track:7znbs5T41Li5UBiVGhEACQ,4,-0.40977179447442313,-0.1412525292115949,5
