uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:2zkhW5YaOPPaPgNWXmjTjF,Hoodie Allen,Come Around,0.726,0.727,-4.919,0.0969,0.363,0.231,0.815,77.543
spotify:track:15vzANxN8G9wWfwAJLLMCg,The Chainsmokers,Paris,0.646,0.644,-6.763,0.031,0.0243,0.0888,0.251,99.999
spotify:track:2rizacJSyD9S1IQUxUxnsK,The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,-8.821,0.0307,0.097,0.115,0.296,90.0
spotify:track:66dQdXAbtuPdSasezCQVZE,BROCKHAMPTON,SUMMER,0.497,0.55,-6.13,0.0257,0.847,0.119,0.542,79.955
spotify:track:694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,NO HALO,0.643,0.573,-7.034,0.0709,0.41,0.0695,0.47,165.192
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR,0.453,0.538,-8.212,0.0638,0.449,0.19,0.516,122.973
spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,BROCKHAMPTON,GINGER,0.748,0.715,-5.137,0.0451,0.249,0.164,0.226,130.087
spotify:track:5GI6QmVQewXzKDtIf4pPY8,Bren Joy,Twenties,0.676,0.586,-6.412,0.0716,0.177,0.0461,0.602,88.01
spotify:track:0dMahcyqbfmUiWUL9xiLmg,Bren Joy,Sweet,0.638,0.732,-6.852,0.0914,0.173,0.0681,0.553,78.017
spotify:track:4kWfgyx4baqZctv8N3zxwt,Bren Joy,Henny in the Hamptons,0.633,0.635,-6.786,0.118,0.623,0.207,0.464,87.927
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,0.611,0.797,-7.627,0.0533,0.00543,0.26,0.518,120.041
spotify:track:6y6jbcPG4Yn3Du4moXaenr,blackbear,Idfc,0.63,0.5,-8.755,0.0611,0.611,0.114,0.315,144.871
spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,0.778,0.559,-7.109,0.0776,0.128,0.399,0.678,129.989
spotify:track:65Bynqyt59f3fojjs1Uo41,ayokay,Stay With Me (feat. Jeremy Zucker),0.694,0.695,-6.612,0.0705,0.489,0.131,0.468,100.035
spotify:track:4PUWpNtDejQwwa80LjvxXl,ayokay,Sleepless Nights (feat. Nightly),0.663,0.696,-5.994,0.0349,0.0563,0.226,0.449,139.98
spotify:track:6h5PAsRni4IRlxWr6uDPTP,Axwell /\ Ingrosso,More Than You Know,0.646,0.741,-4.973,0.034,0.0275,0.312,0.571,123.077
spotify:track:6ae29ZzSPYq61ARnOn3CGh,Anthony Russo,California,0.736,0.493,-7.224,0.0592,0.265,0.247,0.364,141.997
spotify:track:7HbTWMc28PYvjltuhArnKG,COIN,Atlas,0.38,0.769,-5.572,0.0748,0.00741,0.163,0.562,174.223
spotify:track:0X5mtNbqxbiTYkwj0CQc2f,COIN,Crash My Car,0.244,0.645,-5.863,0.0456,0.00178,0.301,0.529,183.577
spotify:track:4djIFfof5TpbSGRZUpsTXq,COIN,Talk Too Much,0.598,0.888,-5.119,0.0807,0.00947,0.347,0.482,103.966
spotify:track:7znbs5T41Li5UBiVGhEACQ,Death Cab for Cutie,Summer Years,0.556,0.902,-6.087,0.0333,0.215,0.109,0.849,152.25
spotify:track:28QF5ELXqDnaBjPjGTlzAK,Death Cab for Cutie,Northern Lights,0.514,0.95,-3.807,0.0298,0.00575,0.134,0.665,137.975
spotify:track:1J5rHMEvQFpM07iLULi48A,flor,back again,0.636,0.597,-6.884,0.0279,0.118,0.124,0.639,84.979
spotify:track:6RtRxaZN5RMWFbeZW24oRx,flor,hold on,0.609,0.872,-4.72,0.0447,0.0483,0.119,0.534,111.967
spotify:track:5UAOuU3YK9xo76vtrhyDng,flor,dancing around,0.726,0.657,-7.066,0.0327,0.00765,0.0975,0.629,114.996
spotify:track:29j2Y1N3vpyvm385G4TFSS,flora cash,Missing Home,0.608,0.728,-6.612,0.0393,0.339,0.0741,0.246,89.994
spotify:track:1ITJTMrS4cx8zdlI7DdSoo,HONNE,Me & You ◑,0.769,0.546,-8.27,0.0387,0.645,0.0948,0.603,120.22
spotify:track:6ZzYETKetIfNUsZUb23jgG,HONNE,Day 1 ◑,0.503,0.581,-7.007,0.0881,0.21,0.257,0.633,94.555
spotify:track:6A1GBCMwbfhkB9e1thR8a8,HONNE,Location Unknown ◐,0.682,0.65,-7.231,0.0457,0.216,0.0947,0.378,109.986
spotify:track:7i1pavASRUZk62ejaUIESa,HONNE,Crying Over You ◐,0.385,0.62,-8.316,0.147,0.0815,0.352,0.415,75.564
spotify:track:3FpEXAupLwCHwzeUBxF99S,joan,i loved you first,0.556,0.276,-9.603,0.0269,0.0862,0.0999,0.216,75.02
spotify:track:0ltO5bci13M68sTnEctBxR,joan,love somebody like you,0.577,0.854,-3.754,0.0473,0.0596,0.205,0.336,94.999
spotify:track:2k7GyFSbErjCvk1QlTChxL,joan,tokyo,0.631,0.786,-5.267,0.0353,0.00716,0.12,0.761,102.027
