uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,pc1,pc2,label
spotify:track:1DMEzmAoQIikcL52psptQL,Joji,TEST DRIVE,0.6459999999999999,0.648,-8.602,0.0372,0.71,0.10800000000000001,0.466,75.00399999999999,0.3234657643115453,-0.23568155962305606,2
spotify:track:6p8eEdiZLKJH8tcjGZuNTK,Joji,Run,0.447,0.72,-3.9539999999999997,0.0332,0.0416,0.614,0.36200000000000004,157.892,-0.44076682061944555,0.29548628852308984,3
spotify:track:3xaugmCyXrVkrDTXbFkMW3,Joji,Sanctuary,0.552,0.65,-7.199,0.128,0.42200000000000004,0.37200000000000005,0.316,167.78799999999998,0.0010288874873281904,0.2797555115041961,6
spotify:track:3kYARoLSAvt86VFZ55BQcq,88rising,Head In The Clouds,0.516,0.456,-9.242,0.0397,0.281,0.0847,0.23800000000000002,145.843,0.08344312918406646,0.34837225765750746,6
spotify:track:7cflqPPi3zWfLFRRBTWeh6,Jeremy Zucker,talk is overrated,0.7759999999999999,0.353,-8.317,0.0687,0.435,0.302,0.6579999999999999,138.035,0.22902946460949863,-0.17901395956673394,2
spotify:track:0yjdEwkPYbhCXN6uCedpVu,Jeremy Zucker,Flying Kites,0.726,0.46,-5.33,0.0758,0.932,0.0731,0.665,143.737,0.4668785905605954,-0.18040295119558122,5
spotify:track:18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,comethru,0.795,0.17800000000000002,-11.991,0.0574,0.607,0.623,0.608,93.98200000000001,0.585087646820687,-0.3024635800127268,5
spotify:track:5pJPgy2jGvvNUNfHPvG3Zp,HONNE,Warm on a Cold Night,0.342,0.609,-5.68,0.0943,0.185,0.0799,0.401,82.98899999999999,-0.1324597077462809,0.08036779664537382,4
spotify:track:0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,-7.648,0.321,0.555,0.11599999999999999,0.319,89.391,0.22889223676141454,-0.07545089697556705,2
spotify:track:3YTqCVdqwsql9yQKshguT6,gianni & kyle,wave,0.7440000000000001,0.43,-9.835,0.162,0.262,0.10400000000000001,0.28600000000000003,89.993,0.21088922774927074,-0.09697208333251243,2
spotify:track:7lKNg20fAXWXgrr9ZmVdEE,gianni & kyle,jealous,0.8320000000000001,0.643,-6.035,0.127,0.27399999999999997,0.0983,0.39299999999999996,135.007,-0.05330367931578132,-0.10774386655526122,4
spotify:track:7kMFvJUNKfQaOFxN4kXa68,gianni & kyle,how u get,0.867,0.6579999999999999,-5.242000000000001,0.21899999999999997,0.38,0.142,0.608,101.969,0.027787888798818806,-0.44106596916727253,2
