artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature
gianni & kyle,jealous,0.832,0.643,7,-6.035,0,0.127,0.274,0.0,0.0983,0.393,135.007,spotify:track:7lKNg20fAXWXgrr9ZmVdEE,4
gianni & kyle,how u get,0.867,0.658,11,-5.242,1,0.219,0.38,0.0,0.142,0.608,101.969,spotify:track:7kMFvJUNKfQaOFxN4kXa68,4
gianni & kyle,do u even miss me at all?,0.819,0.519,10,-7.16,0,0.0768,0.384,0.0,0.0898,0.452,100.039,spotify:track:1AHf5FSofKcUw8tyKkccKF,4
gianni & kyle,5 shots,0.918,0.449,1,-5.702,1,0.0605,0.124,0.0,0.0595,0.481,91.978,spotify:track:0znCw9dSfsrBGUtxAzd9kD,4
EXES,Peckham,0.592,0.495,9,-7.89,1,0.0446,0.581,0.00043,0.134,0.226,114.925,spotify:track:7AhqAjYc1F7x3yURlb0dkj,4
COIN,"Don't Cry, 2020",0.527,0.867,9,-5.854,1,0.145,0.0132,0.000358,0.612,0.184,128.04,spotify:track:69yWHw7ZdTfYnpk67pdj3a,4
Hoodie Allen,Come Around,0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,spotify:track:2zkhW5YaOPPaPgNWXmjTjF,4
The Chainsmokers,Paris,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,spotify:track:15vzANxN8G9wWfwAJLLMCg,4
The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,4
BROCKHAMPTON,SUMMER,0.497,0.55,8,-6.13,1,0.0257,0.847,0.049,0.119,0.542,79.955,spotify:track:66dQdXAbtuPdSasezCQVZE,4
BROCKHAMPTON,NO HALO,0.643,0.573,4,-7.034,1,0.0709,0.41,0.00017,0.0695,0.47,165.192,spotify:track:694vvR5o19xHPhhJ5QdLN7,4
BROCKHAMPTON,SUGAR,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,4
BROCKHAMPTON,GINGER,0.748,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,4
Bren Joy,Twenties,0.676,0.586,0,-6.412,1,0.0716,0.177,0.0,0.0461,0.602,88.01,spotify:track:5GI6QmVQewXzKDtIf4pPY8,4
Bren Joy,Sweet,0.638,0.732,0,-6.852,1,0.0914,0.173,0.0,0.0681,0.553,78.017,spotify:track:0dMahcyqbfmUiWUL9xiLmg,4
Bren Joy,Henny in the Hamptons,0.633,0.635,1,-6.786,0,0.118,0.623,0.0,0.207,0.464,87.927,spotify:track:4kWfgyx4baqZctv8N3zxwt,4
BØRNS,Electric Love,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,4
blackbear,Idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,spotify:track:6y6jbcPG4Yn3Du4moXaenr,4
blackbear,hot girl bummer,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,1
ayokay,Stay With Me (feat. Jeremy Zucker),0.695,0.695,2,-6.612,1,0.0706,0.489,0.00019,0.131,0.468,100.021,spotify:track:65Bynqyt59f3fojjs1Uo41,4
ayokay,Sleepless Nights (feat. Nightly),0.663,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,spotify:track:4PUWpNtDejQwwa80LjvxXl,4
Axwell /\ Ingrosso,More Than You Know,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,spotify:track:6h5PAsRni4IRlxWr6uDPTP,4
Anthony Russo,California,0.736,0.493,10,-7.224,1,0.0592,0.265,0.0,0.247,0.364,141.997,spotify:track:6ae29ZzSPYq61ARnOn3CGh,4
COIN,Atlas,0.38,0.769,6,-5.572,0,0.0748,0.00741,3.86e-06,0.163,0.562,174.223,spotify:track:7HbTWMc28PYvjltuhArnKG,4
COIN,Crash My Car,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,spotify:track:0X5mtNbqxbiTYkwj0CQc2f,5
COIN,Talk Too Much,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966,spotify:track:4djIFfof5TpbSGRZUpsTXq,4
Death Cab for Cutie,Summer Years,0.556,0.902,11,-6.087,0,0.0333,0.215,0.357,0.109,0.849,152.25,spotify:track:7znbs5T41Li5UBiVGhEACQ,4
Death Cab for Cutie,Northern Lights,0.514,0.95,4,-3.807,0,0.0298,0.00575,0.00238,0.134,0.665,137.975,spotify:track:28QF5ELXqDnaBjPjGTlzAK,4
flor,back again,0.636,0.597,8,-6.884,0,0.0279,0.118,0.00283,0.124,0.639,84.979,spotify:track:1J5rHMEvQFpM07iLULi48A,4
flor,hold on,0.609,0.872,8,-4.72,1,0.0447,0.0483,0.000971,0.119,0.534,111.967,spotify:track:6RtRxaZN5RMWFbeZW24oRx,4
flor,dancing around,0.726,0.657,10,-7.066,0,0.0327,0.00765,0.000248,0.0975,0.629,114.996,spotify:track:5UAOuU3YK9xo76vtrhyDng,4
