artist,title,played_at,session,uri,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,label
Post Malone,Myself,(05/19) 17:28 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2cvOfKHOHgwQlLiuLKP2xR,0.476,0.701,-4.234,0.0349,0.102,0.242,0.405,163.882,3
Said the Sky,Erase Me,(05/19) 17:25 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
Said the Sky,Erase Me,(05/19) 17:22 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
Seven Lions,First Time (feat. Dylan Matthew),(05/18) 10:05 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:27YD36FUikKxbp3bKSiKGZ,0.422,0.677,-5.76,0.0365,0.251,0.16,0.146,150.131,3
Delaney Jane,Throwback,(05/18) 10:01 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:0O64j1yLdHg17XDfleKiYH,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071,4
TWIN XL,Good,(05/18) 09:57 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:7sRdxkgNb3m3Ciai38ANmd,0.617,0.964,-3.559,0.0355,0.113,0.247,0.961,75.97800000000002,0
TWIN XL,"Don't Wake Me, I'm Still Dreaming",(05/18) 09:54 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:6NdL165hAxSKNnozIA2HDY,0.388,0.777,-5.194,0.0341,0.0218,0.101,0.218,163.805,3
TWIN XL,Neon Summer,(05/18) 09:51 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:4NjW9Srshx2xuTdEoUnf9C,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023,0
Mike Perry,Lighthouse,(05/18) 09:48 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:4AM3fxgUBkEUO6xScrmB9a,0.5429999999999999,0.875,-3.033,0.032,0.0795,0.061,0.244,154.936,3
Lauv,Tattoos Together,(05/18) 09:45 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:1Srt81FTalOhRw7t7l8Yh8,0.862,0.4,-7.4860000000000015,0.0736,0.00575,0.123,0.596,122.963,2
